42540540135650452117955817790131666944,42540540214878614632220155383675617279,9318,SK Broadband Co Ltd
42540540769475752232070518538483269632,42540540848703914746334856132027219967,9600,So-net Corporation
42540542037126352460299920035186475008,42540542116354514974564257628730425343,7670,"Enecom,Inc."
42540543938602252802644022280241283072,42540544017830415316908359873785233407,2514,"NTT PC Communications, Inc."
42540545840078153144988124525296091136,42540545919306315659252462118840041471,9644,SK Telecom
42540546473903453259102825273647693824,42540546553131615773367162867191644159,9293,HKNet Co. Ltd.
42540547107728753373217526021999296512,42540547186956915887481863615543246847,10013,"FreeBit Co.,Ltd."
42540547741554053487332226770350899200,42540547820782216001596564363894849535,7514,"Computer Engineering & Consulting, Ltd."
42540548375379353601446927518702501888,42540548454607516115711265112246452223,2907,"Research Organization of Information and Systems, National Institute of Informa"
42540549009204653715561628267054104576,42540549088432816229825965860598054911,2497,Internet Initiative Japan Inc.
42540549643029953829676329015405707264,42540549722258116343940666608949657599,7668,Hokuriku Telecommunication Network Co.
42540550276855253943791029763757309952,42540550356083416458055367357301260287,4694,IDC Frontier Inc.
42540550910680554057905730512108912640,42540550989908716572170068105652862975,7522,"STNet, Incorporated"
42540551544505854172020431260460515328,42540551545191315111741926002518917119,1237,KISTI
42540551545191315111741926002518917120,42540551545192524037561540631693623295,152671,SPARCS
42540551545192524037561540631693623296,42540551623734016686284768854004465663,1237,KISTI
42540552812156454400249832757163720704,42540552891384616914514170350707671039,6619,SamsungSDS Inc.
42540553445981754514364533505515323392,42540553525209917028628871099059273727,4675,"UNIADEX, LTD."
42540554079807054628479234253866926080,42540554159035217142743571847410876415,4678,Canon IT Solutions Inc.
42540554713632354742593935002218528768,42540554792860517256858272595762479103,7679,"QTnet,Inc."
42540555347457654856708635750570131456,42540555426685817370972973344114081791,7671,NTT SmartConnect Corporation
42540555981282954970823336498921734144,42540556060511117485087674092465684479,4680,Mitsubishi Electric Information Network Corporation
42540556615108255084938037247273336832,42540556694336417599202374840817287167,135887,Telstra Limited
42540557882758855313167438743976542208,42540557961987017827431776337520492543,9607,"BroadBand Tower, Inc."
42540558516584155427282139492328144896,42540558595812317941546477085872095231,9318,SK Broadband Co Ltd
42540559150409455541396840240679747584,42540559229637618055661177834223697919,4713,NTT Communications Corporation
42540559784234755655511540989031350272,42540559863462918169775878582575300607,7575,Australian Academic and Research Network
42540561051885355883740942485734555648,42540561131113518398005280079278505983,7682,"HOKKAIDO TELECOMMUNICATIONS NETWORK Co., Inc."
42540561685710655997855643234086158336,42540561764938818512119980827630108671,7521,INTERNET MULTIFEED CO.
42540562319535956111970343982437761024,42540562398764118626234681575981711359,9848,SEJONG NETWORKS
42540562953361256226085044730789363712,42540563032589418740349382324333314047,17529,"STARCAT CABLE NETWORK Co .,LTD."
42540563587186556340199745479140966400,42540563666414718854464083072684916735,2527,Sony Network Communications Inc.
42540564221011856454314446227492569088,42540564230915376768597488426685562879,7516,"TOHKnet Co.,Inc."
42540564854837156568429146975844171776,42540564855537124617986017267999047679,4621,Office of Info.Tech. Admin. for Educational Development
42540564855537124617986017267999047680,42540564855538333543805631897173753855,138685,Mahidol Wittayanusorn School
42540564855538333543805631897173753856,42540564859807050612864887513061261311,4621,Office of Info.Tech. Admin. for Educational Development
42540564859807050612864887513061261312,42540564859808259538684502142235967487,133919,Office of Info.Tech. Admin. for Educational Development
42540564859808259538684502142235967488,42540564859810677390323731400585379839,4621,Office of Info.Tech. Admin. for Educational Development
