2001:250:21f::,2001:250:222:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:223::,2001:250:223:ffff:ffff:ffff:ffff:ffff,24349,CNGI-BJ-IX3-AS-AP CERNET2 IX at Peking University
2001:250:224::,2001:250:22c:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:22d::,2001:250:22e:ffff:ffff:ffff:ffff:ffff,24349,CNGI-BJ-IX3-AS-AP CERNET2 IX at Peking University
2001:250:22f::,2001:250:233:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:234::,2001:250:234:ffff:ffff:ffff:ffff:ffff,24349,CNGI-BJ-IX3-AS-AP CERNET2 IX at Peking University
2001:250:235::,2001:250:235:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:236::,2001:250:237:ffff:ffff:ffff:ffff:ffff,24349,CNGI-BJ-IX3-AS-AP CERNET2 IX at Peking University
2001:250:238::,2001:250:23a:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:23b::,2001:250:23b:ffff:ffff:ffff:ffff:ffff,24348,CNGI-BJ-IX2-AS-AP CERNET2 IX at Tsinghua University
2001:250:23c::,2001:250:247:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:248::,2001:250:248:ffff:ffff:ffff:ffff:ffff,24348,CNGI-BJ-IX2-AS-AP CERNET2 IX at Tsinghua University
2001:250:249::,2001:250:24e:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:24f::,2001:250:24f:ffff:ffff:ffff:ffff:ffff,24348,CNGI-BJ-IX2-AS-AP CERNET2 IX at Tsinghua University
2001:250:250::,2001:250:400:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:401::,2001:250:408:ffff:ffff:ffff:ffff:ffff,24352,CNGI-TJN-IX-AS-AP CERNET2 IX at Tianjin University
2001:250:409::,2001:250:40c:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:40d::,2001:250:40f:ffff:ffff:ffff:ffff:ffff,24352,CNGI-TJN-IX-AS-AP CERNET2 IX at Tianjin University
2001:250:410::,2001:250:7ff:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:800::,2001:250:802:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
2001:250:803::,2001:250:803:ffff:ffff:ffff:ffff:ffff,24348,CNGI-BJ-IX2-AS-AP CERNET2 IX at Tsinghua University
2001:250:804::,2001:250:805:ffff:ffff:ffff:ffff:ffff,138182,CNGI-SJZ-IX-AS-AP CERNET2 regional IX at Hebei Normal University
