42540535070063884430619308249174769664,42540535073713631480035873727612715007,23910,China Next Generation Internet CERNET2
42540535073713631480035873727612715008,42540535073728138589871249277709189119,138376,CERNET2 regional IX at Ningxia University
42540535073728138589871249277709189120,42540535073729347515690863906883895295,23910,China Next Generation Internet CERNET2
42540535073729347515690863906883895296,42540535073731765367330093165233307647,138376,CERNET2 regional IX at Ningxia University
42540535073731765367330093165233307648,42540535073732974293149707794408013823,23910,China Next Generation Internet CERNET2
42540535073732974293149707794408013824,42540535073734183218969322423582719999,138376,CERNET2 regional IX at Ningxia University
42540535073734183218969322423582720000,42540535074332601499678563865062277119,23910,China Next Generation Internet CERNET2
42540535074332601499678563865062277120,42540535074350735386972783302682869759,138377,CERNET2 regional IX at Qinghai Normal University
42540535074350735386972783302682869760,42540535074951571519321254002511839231,23910,China Next Generation Internet CERNET2
42540535074951571519321254002511839232,42540535074972123258254702698481844223,24355,CERNET2 IX at University of Electronic Science and Technology of China
42540535074972123258254702698481844224,42540535074973332184074317327656550399,23910,China Next Generation Internet CERNET2
42540535074973332184074317327656550400,42540535074975750035713546586005962751,24355,CERNET2 IX at University of Electronic Science and Technology of China
42540535074975750035713546586005962752,42540535074976958961533161215180668927,23910,China Next Generation Internet CERNET2
42540535074976958961533161215180668928,42540535074984212516450848990228905983,24355,CERNET2 IX at University of Electronic Science and Technology of China
42540535074984212516450848990228905984,42540535074985421442270463619403612159,23910,China Next Generation Internet CERNET2
42540535074985421442270463619403612160,42540535074987839293909692877753024511,24355,CERNET2 IX at University of Electronic Science and Technology of China
42540535074987839293909692877753024512,42540535074989048219729307506927730687,23910,China Next Generation Internet CERNET2
42540535074989048219729307506927730688,42540535075001137477925453798674792447,24355,CERNET2 IX at University of Electronic Science and Technology of China
42540535075001137477925453798674792448,42540535075002346403745068427849498623,23910,China Next Generation Internet CERNET2
42540535075002346403745068427849498624,42540535075014435661941214719596560383,24355,CERNET2 IX at University of Electronic Science and Technology of China
42540535075014435661941214719596560384,42540535075015644587760829348771266559,23910,China Next Generation Internet CERNET2
42540535075015644587760829348771266560,42540535075025315994317746382168915967,24355,CERNET2 IX at University of Electronic Science and Technology of China
42540535075025315994317746382168915968,42540535075026524920137361011343622143,23910,China Next Generation Internet CERNET2
42540535075026524920137361011343622144,42540535075028942771776590269693034495,24355,CERNET2 IX at University of Electronic Science and Technology of China
42540535075028942771776590269693034496,42540535075032569549235434157217153023,23910,China Next Generation Internet CERNET2
42540535075032569549235434157217153024,42540535075033778475055048786391859199,24355,CERNET2 IX at University of Electronic Science and Technology of China
42540535075033778475055048786391859200,42540535075034987400874663415566565375,23910,China Next Generation Internet CERNET2
42540535075034987400874663415566565376,42540535075036196326694278044741271551,24355,CERNET2 IX at University of Electronic Science and Technology of China
42540535075036196326694278044741271552,42540535075037405252513892673915977727,23910,China Next Generation Internet CERNET2
42540535075037405252513892673915977728,42540535075038614178333507303090683903,24355,CERNET2 IX at University of Electronic Science and Technology of China
42540535075038614178333507303090683904,42540535075039823104153121932265390079,23910,China Next Generation Internet CERNET2
